name,lat,lon
Tunis,36.81897,10.16579
Bizerte,37.27442,9.87391
Mateur,37.04045,9.66557
Ras_Jebel,37.21572,10.12530
Menzel_Temime,36.78222,10.98750
Tabarka,36.95442,8.75801
Jendouba,36.50114,8.78024
Beja,36.72564,9.18169
Le_Kef,36.17424,8.70486
Siliana,36.08497,9.37082
Nabeul,36.45606,10.73763
Hammamet,36.40000,10.61667
Korba,36.57861,10.85861
Kelibia,36.84757,11.09386
Hammam_Lif,36.72866,10.34163
Grombalia,36.59894,10.50032
Zaghouan,36.40291,10.14292
El_Fahs,36.37419,9.90651
Sousse,35.82539,10.63699
Monastir,35.77799,10.82617
Ksar_Hellal,35.64773,10.89046
Moknine,35.63333,10.90000
Mahdia,35.50472,11.06222
Kairouan,35.67810,10.09633
Kasserine,35.16758,8.83651
Sidi_Bouzid,35.03823,9.48494
Feriana,34.94529,8.56789
Sfax,34.74056,10.76028
Kerkennah,34.70965,11.18318
Gafsa,34.42500,8.78417
Tozeur,33.91968,8.13352
Nefta,33.87309,7.87765
Metlaoui,34.32081,8.40157
Kebili,33.70439,8.96903
Douz,33.46632,9.02030
Gabes,33.88146,10.09820
Matmata,33.54445,9.97157
Medenine,33.35495,10.50548
Djerba_Houmt_Souk,33.87576,10.85745
Midoun,33.80813,10.99228
Ajim,33.72638,10.75664
Ben_Gardane,33.13783,11.21965
Remada,32.31662,10.39551
Borj_El_Khadhra,31.02525,9.78059
Tataouine,32.92967,10.45177
Zarzis,33.50398,11.11215
Dehiba,32.00799,10.70135
