cityA,cityB,distance
Tunis,Bizerte,65
Tunis,Ras_Jebel,55
Tunis,Menzel_Temime,80
Tunis,Nabeul,70
Tunis,Hammam_Lif,20
Tunis,Zaghouan,60
Tunis,Beja,110
Tunis,Le_Kef,155
Tunis,Sousse,140
Tunis,Grombalia,40
Bizerte,Tabarka,125
Bizerte,Beja,90
Bizerte,Mateur,38
Mateur,Beja,55
Mateur,Ras_Jebel,45
Menzel_Temime,Kelibia,18
Menzel_Temime,Nabeul,42
Tabarka,Jendouba,100
Jendouba,Beja,55
Jendouba,Le_Kef,50
Beja,Le_Kef,90
Beja,Siliana,90
Le_Kef,Siliana,70
Le_Kef,Kasserine,120
Siliana,Kairouan,110
Siliana,El_Fahs,80
Hammam_Lif,Nabeul,55
Grombalia,Nabeul,20
Grombalia,Hammamet,40
Nabeul,Hammamet,12
Nabeul,Korba,15
Korba,Kelibia,38
Nabeul,Kelibia,60
Nabeul,Sousse,90
Zaghouan,El_Fahs,35
Zaghouan,Kairouan,110
El_Fahs,Kairouan,80
Sousse,Monastir,25
Sousse,Kairouan,60
Monastir,Mahdia,45
Monastir,Ksar_Hellal,15
Ksar_Hellal,Moknine,7
Moknine,Mahdia,22
Mahdia,Sfax,90
Kairouan,Sfax,140
Kairouan,Sidi_Bouzid,95
Kairouan,Gafsa,180
Kasserine,Sidi_Bouzid,90
Kasserine,Feriana,35
Kasserine,Gafsa,75
Feriana,Gafsa,80
Sidi_Bouzid,Sfax,145
Sidi_Bouzid,Gafsa,140
Sfax,Monastir,170
Sfax,Gabes,135
Sfax,Gafsa,220
Sfax,Medenine,200
Sfax,Kerkennah,20
Gafsa,Tozeur,100
Gafsa,Metlaoui,42
Gafsa,Gabes,160
Tozeur,Kebili,100
Tozeur,Nefta,25
Metlaoui,Tozeur,75
Kebili,Douz,30
Kebili,Gabes,110
Douz,Gabes,95
Douz,Matmata,70
Gabes,Medenine,75
Gabes,Matmata,45
Matmata,Medenine,75
Medenine,Tataouine,50
Medenine,Zarzis,70
Medenine,Djerba_Houmt_Souk,70
Djerba_Houmt_Souk,Midoun,18
Djerba_Houmt_Souk,Ajim,24
Midoun,Zarzis,55
Ben_Gardane,Zarzis,55
Ben_Gardane,Medenine,35
Ben_Gardane,Tataouine,95
Tataouine,Remada,85
Remada,Borj_El_Khadhra,140
Remada,Dehiba,45
Tataouine,Dehiba,130
Tataouine,Zarzis,120
